state	year	name	type	city	county	district	enroll	mmr	overall	xrel	xmed	xper
Arizona	2018-19	A J Mitchell Elementary	Public	Nogales	Santa Cruz	NA	51	100	-1	NA	NA	NA
Arizona	2018-19	Academy Del Sol	Charter	Tucson	Pima	NA	22	100	-1	NA	NA	NA
Arizona	2018-19	Academy Del Sol - Hope	Charter	Tucson	Pima	NA	85	100	-1	NA	NA	NA
Arizona	2018-19	Academy Of Mathematics And Science South	Charter	Phoenix	Maricopa	NA	60	100	-1	NA	NA	NA
Arizona	2018-19	Acclaim Academy	Charter	Phoenix	Maricopa	NA	43	100	-1	NA	2.33	2.33
Arizona	2018-19	Alfred F Garcia	Public	Phoenix	Maricopa	NA	36	100	-1	NA	NA	NA
Arizona	2018-19	All Aboard Charter	Charter	Phoenix	Maricopa	NA	24	100	-1	NA	NA	4.17
Arizona	2018-19	Amerischools Academy - Yuma South Campus	Charter	Yuma	Yuma	NA	22	100	-1	NA	NA	NA
Arizona	2018-19	Arizona Cultural Academy	Private	Phoenix	Maricopa	NA	26	100	-1	NA	NA	NA
Arizona	2018-19	Arizona Desert Elementary	Public	San Luis	Yuma	NA	78	100	-1	NA	NA	NA
Arizona	2018-19	Arthur M Hamilton	Public	Phoenix	Maricopa	NA	35	100	-1	NA	2.86	NA
Arizona	2018-19	Bella Vista Elementary	Public	Sierra Vista	Cochise	NA	54	100	-1	NA	NA	NA
Arizona	2018-19	Blenman Elementary	Public	Tucson	Pima	NA	54	100	-1	NA	7.41	NA
Arizona	2018-19	Booth Magnet Elementary	Public	Tucson	Pima	NA	34	100	-1	NA	NA	NA
Arizona	2018-19	Butterfield Elementary	Public	Tucson	Pima	NA	57	100	-1	NA	NA	NA
Arizona	2018-19	Carrillo Intermediate Magnet	Public	Tucson	Pima	NA	47	100	-1	NA	2.13	NA
Arizona	2018-19	Casa Blanca Community	Public	Bapchule	Pinal	NA	54	100	-1	NA	NA	NA
Arizona	2018-19	Cesar Chavez Elementary	Public	San Luis	Yuma	NA	98	100	-1	NA	NA	NA
Arizona	2018-19	Challenger Elementary	Public	Nogales	Santa Cruz	NA	67	100	-1	NA	NA	NA
Arizona	2018-19	Chinle Elementary	Public	Chinle	Apache	NA	58	100	-1	NA	NA	NA
Arizona	2018-19	Copper Creek Elementary	Public	Tucson	Pima	NA	55	100	-1	NA	NA	NA
Arizona	2018-19	Copper Rim Elementary	Public	Globe	Gila	NA	134	100	-1	NA	NA	4.48
Arizona	2018-19	Countryside Elementary	Public	Surprise	Maricopa	NA	47	100	-1	NA	NA	NA
Arizona	2018-19	Cradleboard	Public	Whiteriver	Navajo	NA	59	100	-1	NA	NA	NA
Arizona	2018-19	Davidson Elementary	Public	Tucson	Pima	NA	34	100	-1	NA	NA	NA
Arizona	2018-19	Desert Oasis Elementary School-85037	Public	Phoenix	Maricopa	NA	63	100	-1	NA	NA	NA
Arizona	2018-19	Desert View Elementary	Public	San Luis	Yuma	NA	92	100	-1	NA	NA	NA
Arizona	2018-19	Dishchii'Bikoh Community	Private	Cibecue	Navajo	NA	41	100	-1	NA	NA	NA
Arizona	2018-19	Drachman Primary Magnet	Public	Tucson	Pima	NA	59	100	-1	NA	NA	NA
Arizona	2018-19	Dunham Elementary	Public	Tucson	Pima	NA	50	100	-1	NA	NA	NA
Arizona	2018-19	E C Nash	Public	Tucson	Pima	NA	48	100	-1	NA	NA	2.08
Arizona	2018-19	Eagle College Prep - Maryvale	Charter	Phoenix	Maricopa	NA	49	100	-1	NA	NA	NA
Arizona	2018-19	Eagle College Prep - Mesa	Charter	Mesa	Maricopa	NA	30	100	-1	NA	NA	3.33
Arizona	2018-19	Ed Pastor Elementary 4	Public	San Luis	Yuma	NA	75	100	-1	NA	NA	NA
Arizona	2018-19	El Mirage Elementary	Public	El Mirage	Maricopa	NA	73	100	-1	NA	NA	NA
Arizona	2018-19	Estrella Vista Elementary	Public	Avondale	Maricopa	NA	97	100	-1	NA	NA	1.03
Arizona	2018-19	Freedom Elementary	Public	Buckeye	Maricopa	NA	58	100	-1	NA	NA	NA
Arizona	2018-19	Friendly House Academia Del Pueblo Elementary	Charter	Phoenix	Maricopa	NA	41	100	-1	NA	NA	NA
Arizona	2018-19	Gadsden Elementary	Public	Gadsden	Yuma	NA	61	100	-1	NA	NA	NA
Arizona	2018-19	Gallego Basic Elementary	Public	Tucson	Pima	NA	124	100	-1	NA	NA	NA
Arizona	2018-19	Galveston Elementary	Public	Chandler	Maricopa	NA	53	100	-1	NA	NA	NA
Arizona	2018-19	Garden Lakes Elementary	Public	Avondale	Maricopa	NA	81	100	-1	NA	NA	NA
Arizona	2018-19	Glendale Landmark Middle	Public	Glendale	Maricopa	NA	62	100	-1	NA	NA	NA
